subject,activity_0,activity_1,activity_2
S1,5.141806125640869,8.011205673217773,6.783905029296875
S2,6.858266353607178,5.6725754737854,3.4551737308502197
S3,6.034497261047363,6.667638301849365,5.591615676879883
S4,4.808556079864502,8.547883033752441,5.473793983459473
S5,12.966621398925781,29.115917205810547,21.26688003540039
S6,3.4759984016418457,10.846997261047363,
S7,3.782000780105591,6.165384769439697,4.849390029907227
S8,19.622568130493164,20.747114181518555,12.664998054504395
S9,8.361706733703613,8.726637840270996,9.617047309875488
S10,6.981230735778809,3.229963779449463,3.38118839263916
S11,6.447713375091553,7.943548202514648,6.751336574554443
S12,11.107975959777832,8.582104682922363,3.393235683441162
S13,4.061524391174316,5.639365196228027,5.015713691711426
S14,4.693607330322266,5.349023342132568,5.622326850891113
S15,4.631816864013672,5.995671272277832,4.856661796569824
